รถสามล้มมาช้า,ต้องเรียกผ่านเเอปเท่านั้นเเถมช้าอีก,0,Traffic,16/11/2022 16:52:47,naruto,null,inprogress
รถติด,รถติดในม.,0,Traffic,16/11/2022 16:55:10,naruto,null,inprogress
พนักงาน7-11,พนักงาน7-11 หน้าตาไม่ต้องรับ,0,Person,16/11/2022 16:55:54,naruto,null,inprogress
เส้นทางถนนเเคบไป,เส้นทางถนนเเคบไปในการขับรถ,0,Traffic,16/11/2022 16:56:46,naruto,null,inprogress
ต้นไม้ล้มขวางทางถนน,ต้นไม้ล้มขวางทางถนนไปมาไม่ได้,0,Traffic,16/11/2022 16:57:59,naruto,null,inprogress
ตึกสกปรก,ตึกสกปรกมาก ฝุ่นเยอะ,0,Building,16/11/2022 16:59:11,naruto,null,inprogress
ตึกร้าว,ตึกร้าวยาวมาก,0,Building,16/11/2022 16:59:53,naruto,null,inprogress
บันไดหนีไฟ,บันไดหนีไฟไม่ให้เดิน,0,Building,16/11/2022 17:01:11,naruto,null,inprogress
ห้องทดลองเล็กไป,ห้องทดลองในการเรียนเล็กไป,0,Building,16/11/2022 17:01:39,naruto,null,inprogress
ให้งานเยอะ,อาจารย์ให้งานเยอะ,0,Learning,16/11/2022 17:12:27,emiya,null,inprogress
ข้อสอบยาก,อาจารย์ออกข้อสอบยาก,0,Learning,16/11/2022 17:13:22,emiya,null,inprogress
เวลาสอนน้อย,เวลาสอนน้อย,0,Learning,16/11/2022 17:14:20,emiya,null,inprogress
การเปิดเรียน,การเปิดเรียนไม่ตรงกับม.อื่น,0,Learning,16/11/2022 17:14:43,emiya,null,inprogress
รถชนกัน,รถชนกันเเถวหัวโค้งที่ม.,0,Traffic,16/11/2022 17:15:46,emiya,null,inprogress
ตะลัยขับช้า,ตะลัยขับช้ามาก,0,Traffic,16/11/2022 17:16:08,emiya,null,inprogress
บัตรศูนย์อาหาร,ควรใช้เงินสดเเทนบัตรศูนย์อาหาร,0,Facilities,16/11/2022 17:16:35,emiya,null,inprogress
ร้านอาหารน้อย,ร้านอาหารที่คณะวิทย์น้อย,0,Facilities,16/11/2022 17:18:25,emiya,null,inprogress
ช้อนหมด,ช้อนหมด,0,Facilities,16/11/2022 17:18:53,emiya,null,inprogress
ตึกเดินไกล,ตึกเดินไกลกว่าจะถึงอีกตีกที่เรียน,0,Building,16/11/2022 17:23:37,eula,null,inprogress
เส้นถนนจาง,เส้นเเบ่งกั้นถนนจาง,0,Traffic,16/11/2022 17:24:56,eula,null,inprogress
เกรณ์การผ่านยาก,เกรณ์การให้คะเเนนยาก,0,Learning,16/11/2022 17:25:40,eula,null,inprogress
ไฟไม่พอ,ไฟในห้องเรียนไม่พอใช้,0,Building,16/11/2022 17:26:40,eula,null,inprogress
ไม่มีตำรวจจัดการจราจร,ไม่มีตำรวจจัดการจราจรตอนเย็น,0,Traffic,16/11/2022 17:27:43,eula,null,inprogress
ควรเพิ่มจำนวนคนลงทะเบียนต่อรายวิชาให้มากกว่านี้,ควรเพิ่มจำนวนคนลงทะเบียนต่อรายวิชาให้มากกว่านี้,0,Learning,16/11/2022 17:28:55,eula,null,inprogress
เพิ่มเวลาในการลงทะเบียนเรียน,ควรเพิ่มเวลาในการลงทะเบียนให้มากกว่านี้เพื่อลดปัญหานิสิตลงทะเบียนไม่ทัน,0,Learning,16/11/2022 17:29:42,eula,null,inprogress
ควรลดพื้นที่สำหรับขี่จักรยาน,ควรลดพื้นที่สำหรับขี่จักรยาน จะได้มีพื้นที่ขับรถกว้างขึ้น,0,Traffic,16/11/2022 17:30:31,eula,null,inprogress
ควรขยายตึกให้มากกว่านี้,ควรเพิ่มตึกเรียนให้มากกว่านี้,0,Building,16/11/2022 17:31:51,eula,null,inprogress
น้ำท่วมตึก,น้ำท่วมตึกต้องเดินลุยน้ำมาเรียนTT,0,Building,16/11/2022 17:32:59,eula,null,inprogress
รถน้อย,รถให้บริการน้อยมาก,0,Traffic,16/11/2022 17:33:50,eula,null,inprogress
เรียนออนไลน์,บางวิชาควรเรียนออนไลน์เพื่อประหยัดเวลาในการเดินทาง,0,Learning,16/11/2022 17:35:02,eula,null,inprogress
